                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2295,                0.85117,                 0.9167,                0.87952,                0.87635,                0.87667,                0.51954,                 1.3895,                0.78615,                0.94024,             0.00090969,             0.00090969,             0.00090969
                     36,                 1.3078,                0.87776,                0.93032,                0.89145,                0.89776,                0.92337,                0.52935,                 1.4041,                0.82516,                0.94077,             0.00089938,             0.00089938,             0.00089938
                     37,                 1.2998,                0.91326,                0.91667,                0.86081,                    0.9,                0.89654,                0.50119,                 1.4334,                0.81765,                0.94285,             0.00088906,             0.00088906,             0.00088906
                     38,                 1.2532,                0.83753,                0.90133,                0.85921,                0.89989,                0.88926,                0.51259,                 1.3679,                0.77532,                0.93392,             0.00087875,             0.00087875,             0.00087875
                     39,                 1.3089,                0.85964,                0.91184,                0.89234,                0.90324,                0.89478,                0.51129,                 1.4256,                  0.782,                0.94574,             0.00086844,             0.00086844,             0.00086844
                     40,                 1.2117,                0.83747,                0.90957,                0.87325,                 0.8605,                 0.8533,                0.50183,                 1.3921,                0.82125,                0.94029,             0.00085813,             0.00085813,             0.00085813
                     41,                 1.2473,                0.83975,                0.91069,                 0.8738,                0.90595,                0.88234,                0.51803,                  1.376,                0.79276,                0.93605,             0.00084781,             0.00084781,             0.00084781
                     42,                 1.2742,                0.93534,                0.90202,                0.91913,                0.87912,                0.88994,                0.51394,                 1.3804,                0.78721,                 0.9441,              0.0008375,              0.0008375,              0.0008375
                     43,                 1.2069,                0.81515,                0.91154,                0.90624,                0.85497,                0.86566,                 0.5038,                 1.4024,                0.77731,                0.95149,             0.00082719,             0.00082719,             0.00082719
                     44,                   1.23,                0.82127,                0.90129,                0.89332,                0.89983,                0.89863,                0.49616,                 1.4308,                0.76486,                0.95355,             0.00081688,             0.00081688,             0.00081688
                     45,                 1.2418,                0.81953,                0.90366,                0.86126,                0.86851,                0.86797,                0.51315,                 1.3529,                0.78154,                0.92937,             0.00080656,             0.00080656,             0.00080656
                     46,                 1.2506,                 0.8178,                0.90683,                0.89884,                0.88623,                0.88898,                0.51184,                 1.3868,                0.79199,                0.92985,             0.00079625,             0.00079625,             0.00079625
                     47,                 1.2094,                0.79982,                0.90516,                0.88616,                0.90424,                0.90282,                0.51984,                 1.3703,                0.75227,                0.92799,             0.00078594,             0.00078594,             0.00078594
                     48,                 1.2171,                0.81547,                0.89252,                0.91601,                0.91866,                0.90992,                0.51456,                  1.386,                0.76968,                0.93322,             0.00077563,             0.00077563,             0.00077563
                     49,                 1.1903,                0.78593,                0.90354,                0.92884,                0.92345,                0.91354,                0.53227,                 1.3527,                0.74708,                0.93638,             0.00076531,             0.00076531,             0.00076531
                     50,                 1.1704,                0.79686,                0.89422,                 0.8595,                0.90549,                0.90644,                0.53408,                 1.3765,                0.78858,                0.93435,               0.000755,               0.000755,               0.000755
                     51,                 1.1576,                0.75949,                0.89956,                0.88755,                0.89855,                0.88704,                0.52083,                 1.3523,                0.76042,                0.92727,             0.00074469,             0.00074469,             0.00074469
                     52,                 1.1683,                  0.774,                0.89246,                0.91204,                0.89471,                0.90478,                 0.5302,                 1.3616,                0.76188,                0.93199,             0.00073437,             0.00073437,             0.00073437
                     53,                 1.1668,                0.76164,                0.89271,                0.90114,                0.90569,                0.89829,                0.53347,                 1.3504,                0.75422,                0.91962,             0.00072406,             0.00072406,             0.00072406
                     54,                 1.1801,                0.80414,                0.89642,                0.90806,                0.90226,                 0.8872,                0.51257,                 1.3693,                0.73664,                0.92763,             0.00071375,             0.00071375,             0.00071375
                     55,                  1.155,                0.74821,                0.89118,                0.92725,                0.92257,                0.91322,                 0.5289,                 1.3709,                0.73341,                 0.9314,             0.00070344,             0.00070344,             0.00070344
                     56,                 1.1841,                0.76785,                0.89047,                0.89413,                0.88908,                0.88203,                0.52124,                 1.3778,                 0.7548,                0.92619,             0.00069313,             0.00069313,             0.00069313
                     57,                 1.1719,                0.78385,                0.90329,                0.87974,                0.86523,                0.86579,                0.51568,                 1.3566,                0.75395,                0.92506,             0.00068281,             0.00068281,             0.00068281
                     58,                 1.1384,                0.74255,                0.88843,                0.92679,                0.90652,                0.91906,                0.52492,                 1.3597,                0.73979,                0.92669,              0.0006725,              0.0006725,              0.0006725
                     59,                 1.1792,                0.77016,                 0.9025,                0.91219,                0.92263,                0.90561,                0.53035,                 1.3364,                0.72273,                0.92569,             0.00066219,             0.00066219,             0.00066219
                     60,                 1.2023,                 0.7952,                0.89017,                0.91538,                0.92111,                0.91078,                0.54419,                 1.3331,                0.70163,                0.92407,             0.00065188,             0.00065188,             0.00065188
                     61,                 1.1631,                0.73231,                0.88872,                0.92754,                0.92672,                0.93166,                0.55733,                 1.3126,                0.69584,                 0.9255,             0.00064156,             0.00064156,             0.00064156
                     62,                 1.1243,                0.72427,                0.88462,                0.90374,                0.90029,                0.89011,                0.52224,                 1.3631,                0.72877,                 0.9349,             0.00063125,             0.00063125,             0.00063125
                     63,                 1.1525,                0.75161,                0.88279,                0.90901,                0.91119,                0.89695,                0.53314,                 1.3655,                0.72956,                0.92597,             0.00062094,             0.00062094,             0.00062094
                     64,                 1.1705,                0.74157,                 0.8813,                  0.918,                0.92214,                0.92604,                0.55818,                 1.2994,                0.69879,                0.91778,             0.00061062,             0.00061062,             0.00061062
                     65,                 1.1044,                0.72158,                0.88752,                0.92924,                0.91286,                0.92762,                0.54948,                 1.3075,                0.68753,                0.91453,             0.00060031,             0.00060031,             0.00060031
                     66,                 1.1222,                0.70487,                0.89609,                0.93343,                0.90969,                0.93098,                0.53526,                 1.4489,                0.71908,                0.94675,                0.00059,                0.00059,                0.00059
                     67,                 1.1311,                0.71756,                0.88249,                0.93629,                0.92118,                0.93508,                0.57263,                 1.2694,                0.67109,                0.91884,             0.00057969,             0.00057969,             0.00057969
                     68,                 1.1744,                0.70967,                0.88907,                0.94349,                0.92924,                0.93795,                0.57577,                  1.273,                0.67417,                0.92088,             0.00056938,             0.00056938,             0.00056938
                     69,                 1.1448,                0.71625,                0.89139,                0.93906,                0.91591,                0.93241,                0.53079,                 1.4529,                0.71162,                0.94666,             0.00055906,             0.00055906,             0.00055906
                     70,                 1.1714,                0.71968,                0.88521,                0.90948,                0.92634,                0.91321,                0.55387,                 1.3267,                0.69036,                0.92519,             0.00054875,             0.00054875,             0.00054875
                     71,                 1.1177,                0.70498,                0.88593,                0.94161,                0.92569,                0.92255,                0.56605,                 1.2797,                0.66906,                0.91972,             0.00053844,             0.00053844,             0.00053844
                     72,                 1.1188,                0.69004,                0.87645,                0.92033,                0.91553,                0.90834,                0.53732,                 1.3641,                0.67741,                0.92759,             0.00052812,             0.00052812,             0.00052812
                     73,                 1.0703,                0.67547,                0.86844,                0.92223,                0.92141,                0.92739,                0.55731,                  1.319,                0.67719,                0.92131,             0.00051781,             0.00051781,             0.00051781
                     74,                 1.0664,                0.66017,                0.86858,                0.93631,                0.92498,                0.93352,                0.56622,                 1.3055,                0.66252,                0.92175,              0.0005075,              0.0005075,              0.0005075
                     75,                 1.0591,                0.71434,                0.87081,                0.94426,                0.93245,                  0.933,                0.55699,                 1.3437,                0.66781,                 0.9297,             0.00049719,             0.00049719,             0.00049719
